,Address,Sold,Sold Date,Bed,Bath,Size,Lot Size,HOA,Year Build,Type
72,"37706 Carriage Circle Cmn,Fremont, CA 94536","$1,361,670","OCT 7, 2020",3,2.5,"1,648","4,128 Sq. Ft.",0,1985,Single Family Residential
73,"5734 Via Lugano,Fremont, CA 94555","$907,849","OCT 5, 2020",2,2.5,"1,246",0,0,2014,Condo/Co-op
74,"3475 Deerwood Ter #302,FREMONT, CA 94536","$387,763","OCT 5, 2020",1,1,714,0,0,—,Condo/Co-op
75,"5038 Morris Way,FREMONT, CA 94536","$1,568,088","OCT 1, 2020",4,2.5,"1,872","6,667 Sq. Ft.",0,1960,Single Family Residential
76,"41054 CORRIES Ct,FREMONT, CA 94539","$1,491,691","SEP 30, 2020",2,2,"1,230","4,128 Sq. Ft.",0,1972,Single Family Residential
77,"1926 Mento Dr,FREMONT, CA 94539","$2,180,037","SEP 30, 2020",4,3,"1,912","6,510 Sq. Ft.",0,1961,Single Family Residential
78,"4144 Margery Dr,Fremont, CA 94538","$1,249,520","SEP 28, 2020",3,2,"1,150","6,433 Sq. Ft.",0,1958,Single Family Residential
79,"37774 Taro Ter,NEWARK, CA 94560","$1,147,688","SEP 25, 2020",4,3.5,"2,026",0.38 Acres,0,2015,Condo/Co-op
80,"40895 Chiltern Dr,FREMONT, CA 94539","$1,767,919","SEP 24, 2020",4,2,"1,514","7,128 Sq. Ft.",0,1965,Single Family Residential
81,"40846 Ingersoll Ter,Fremont, CA 94538","$903,030","SEP 21, 2020",3,2,"1,188","1,067 Sq. Ft.",0,1987,Townhouse
82,"38880 Glenview Dr,FREMONT, CA 94536","$1,528,861","SEP 18, 2020",3,2,"1,344","6,942 Sq. Ft.",0,1960,Single Family Residential
83,"43825 Paso Pino Cmn,FREMONT, CA 94539","$1,394,951","SEP 18, 2020",4,3.5,"1,842","8,159 Sq. Ft.",0,2011,Condo/Co-op
84,"3968 Fossano Cmn,FREMONT, CA 94538","$1,189,226","SEP 16, 2020",3,3.5,"1,818",944 Sq. Ft.,0,2018,Townhouse
85,"935 Cherry Glen Cir #219,Fremont, CA 94536","$764,495","SEP 15, 2020",2,2,"1,168",0,0,1987,Condo/Co-op
86,"4715 Griffith Ave,Fremont, CA 94538","$1,534,378","SEP 15, 2020",3,2,"1,776","6,055 Sq. Ft.",0,1963,Single Family Residential
87,"42651 Fern Cir,Fremont, CA 94538-4183","$1,495,280","SEP 15, 2020",3,2.5,"1,375","5,200 Sq. Ft.",0,1987,Single Family Residential
88,"1566 Gomes Rd,Fremont, CA 94539","$2,130,850","SEP 15, 2020",4,2.5,"2,001","6,630 Sq. Ft.",0,1964,Single Family Residential
89,"5675 Snowflake Cmn,Fremont, CA 94538","$1,046,394","SEP 15, 2020",3,3,"1,309",0,0,1994,Condo/Co-op
90,"5180 Eggers Dr,Fremont, CA 94536","$1,508,856","SEP 9, 2020",4,2,"1,390","7,650 Sq. Ft.",0,1960,Single Family Residential
91,"35618 Woodbridge Pl,Fremont, CA 94536","$1,800,856","SEP 3, 2020",4,2,"1,703","6,076 Sq. Ft.",0,1967,Single Family Residential
92,"695 Posada Way,Fremont, CA 94536","$1,999,339","SEP 2, 2020",4,3,"2,195","10,680 Sq. Ft.",0,1965,Single Family Residential
93,"858 Kensington (Court) Dr,Fremont, CA 94539","$1,905,244","AUG 28, 2020",4,2,"1,637","9,430 Sq. Ft.",0,1957,Single Family Residential
94,"39029 Guardino Dr #116,Fremont, CA 94538","$487,104","AUG 21, 2020",1,1,693,0,0,1987,Condo/Co-op
95,"4167 Bullard St,FREMONT, CA 94538","$1,389,002","AUG 20, 2020",4,2,"1,549","5,300 Sq. Ft.",0,1955,Single Family Residential
96,"40910 Valero Dr,Fremont, CA 94539","$1,745,330","AUG 18, 2020",3,3,"1,808","5,405 Sq. Ft.",0,1971,Single Family Residential
97,"4834 Phelan Ave,Fremont, CA 94538","$1,275,951","AUG 18, 2020",3,2,"1,092","6,042 Sq. Ft.",0,1960,Single Family Residential
98,"36311 Pizarro Dr,Fremont, CA 94536","$1,308,121","AUG 18, 2020",3,2,"1,168","6,393 Sq. Ft.",0,1955,Single Family Residential
99,"4255 Ogden Dr,Fremont, CA 94538","$1,419,144","AUG 17, 2020",3,2,"1,601","6,032 Sq. Ft.",0,1962,Single Family Residential
100,"42111 Osgood Rd #230,FREMONT, CA 94539","$957,968","AUG 16, 2020",3,2,"1,154","1,154 Sq. Ft.",0,—,Single Family Residential
101,"35043 Buckingham Ct,Newark, CA 94560","$1,540,130","AUG 14, 2020",4,2,"1,506","9,936 Sq. Ft.",0,1968,Single Family Residential
102,"315 Yampa Way,Fremont, CA 94539","$2,157,122","AUG 6, 2020",4,2.5,"2,415","6,200 Sq. Ft.",0,1987,Single Family Residential
103,"4830 Mildred Dr,FREMONT, CA 94536","$1,712,731","AUG 5, 2020",4,2,"1,829","6,400 Sq. Ft.",0,1960,Single Family Residential
104,"42435 Paseo Padre Pkwy,FREMONT, CA 94539","$2,066,882","AUG 4, 2020",4,2,"1,882","7,626 Sq. Ft.",0,1974,Single Family Residential
105,"3301 Foxtail Ter,Fremont, CA 94536","$410,141","AUG 3, 2020",1,1,593,0,0,1986,Condo/Co-op
106,"3263 Foxtail Ter,Fremont, CA 94536","$551,413","JUL 31, 2020",2,2,840,0,0,1986,Condo/Co-op
107,"40314 Condon St,Fremont, CA 94538","$1,086,101","JUL 31, 2020",3,1,950,"5,000 Sq. Ft.",0,1955,Single Family Residential
108,"40784 Laguna Pl,FREMONT, CA 94539","$2,255,956","JUL 31, 2020",4,2.5,"1,902",0.28 Acres,0,1964,Single Family Residential
109,"40789 Stockton Way,FREMONT, CA 94538","$1,587,366","JUL 31, 2020",3,3,"2,184","6,286 Sq. Ft.",0,1977,Single Family Residential
110,"4579 Piper St,FREMONT, CA 94538","$1,287,557","JUL 30, 2020",3,2,"1,158","5,600 Sq. Ft.",0,1960,Single Family Residential
111,"4767 Boles Ct,Fremont, CA 94538","$1,331,192","JUL 30, 2020",3,2,"1,158","7,085 Sq. Ft.",0,1959,Single Family Residential
112,"249 Felicio Cmn,Fremont, CA 94536","$992,955","JUL 27, 2020",3,2.5,"1,440","1,440 Sq. Ft.",0,1973,Townhouse
113,"5539 Clove Hitch Loop,Fremont, CA 94555","$2,047,942","JUL 23, 2020",4,3,"2,127","3,300 Sq. Ft.",0,2017,Single Family Residential
114,"3988 Fossano Cmn,Fremont, CA 94538","$1,212,934","JUL 23, 2020",3,3.5,"1,818",944 Sq. Ft.,0,2018,Townhouse
115,"4560 Val St,Fremont, CA 94538","$1,358,941","JUL 14, 2020",3,2,"1,148","6,200 Sq. Ft.",0,1959,Single Family Residential
116,"40425 Chapel Way #113,Fremont, CA 94538","$607,892","JUL 14, 2020",2,2,"1,052",2.48 Acres,0,1983,Condo/Co-op
117,"3405 Collin Ct,Fremont, CA 94536","$1,774,760","JUL 7, 2020",4,2,"1,708","9,103 Sq. Ft.",0,1972,Single Family Residential
118,"538 Hollow Falls Cmn Unit 17C,Fremont, CA 94539","$1,479,982","JUN 30, 2020",3,3.5,"2,301",0,0,—,Condo/Co-op
119,"40379 Fremont Blvd,Fremont, CA 94538","$1,308,993","JUN 26, 2020",4,2,"1,443","5,000 Sq. Ft.",0,1955,Single Family Residential
120,"3379 Foxtail Ter,Fremont, CA 94536","$508,665","JUN 18, 2020",2,1,750,0,0,1986,Condo/Co-op
121,"4772 Mayfield Dr,FREMONT, CA 94536","$1,990,612","JUN 10, 2020",4,2.5,"2,216","9,392 Sq. Ft.",0,1954,Single Family Residential
122,"4660 Drury Ct,Fremont, CA 94538","$1,680,199","JUN 4, 2020",4,2,"2,214","9,445 Sq. Ft.",0,1962,Single Family Residential
123,"4640 Sloat Rd,Fremont, CA 94538","$1,614,091","JUN 4, 2020",5,2.5,"2,400","6,065 Sq. Ft.",0,1961,Single Family Residential
124,"5619 Willkie Pl,Fremont, CA 94538","$1,402,870","JUN 4, 2020",3,2,"1,232","6,174 Sq. Ft.",0,1966,Single Family Residential
125,"4283 Fairwood St,Fremont, CA 94538","$1,257,248","MAY 20, 2020",3,2,"1,010","6,336 Sq. Ft.",0,1959,Single Family Residential
126,"40219 Laiolo Rd,Fremont, CA 94538-2606","$1,325,052","MAY 20, 2020",3,2,"1,169","6,600 Sq. Ft.",0,1959,Single Family Residential
127,"5631 Buchanan Pl,Fremont, CA 94538","$1,331,158","MAY 15, 2020",3,2,"1,306","7,020 Sq. Ft.",0,1967,Single Family Residential
128,"2164 Jackson St,Fremont, CA 94539","$1,344,358","MAY 8, 2020",3,1,973,0.29 Acres,0,1957,Single Family Residential
129,"40783 Chiltern Dr,Fremont, CA 94539-3703","$1,955,385","APR 29, 2020",4,2,"1,664","6,480 Sq. Ft.",0,1964,Single Family Residential
130,"4536 Cerritos Ave,Fremont, CA 94536","$1,370,361","APR 24, 2020",3,2,"1,246","6,870 Sq. Ft.",0,1954,Single Family Residential
131,"1734 Horner Way,Fremont, CA 94536","$1,579,300","APR 21, 2020",3,2,"1,612","9,360 Sq. Ft.",0,1958,Single Family Residential
132,"38818 ALTURA,Fremont, CA 94536-4402","$1,798,989","APR 10, 2020",4,3,"2,472","7,715 Sq. Ft.",0,1977,Single Family Residential
133,"4772 PORTER St,Fremont, CA 94538-2525","$1,382,555","APR 10, 2020",4,2,"1,321","6,200 Sq. Ft.",0,1959,Single Family Residential
134,"40471 Blanchard St,Fremont, CA 94538","$1,159,017","APR 8, 2020",4,1,"1,325","5,000 Sq. Ft.",0,1954,Single Family Residential
135,"34272 Newton Pl,Fremont, CA 94555","$1,622,917","APR 7, 2020",3,2,"1,390","5,666 Sq. Ft.",0,1970,Single Family Residential
136,"37880 Bright Cmn,Fremont, CA 94536","$1,068,002","APR 3, 2020",3,2.5,"1,717","2,061 Sq. Ft.",0,1977,Townhouse
137,"39903 Parada St Unit A,NEWARK, CA 94560","$718,848","APR 2, 2020",2,2,"1,448",0,0,1984,Condo/Co-op
138,"45901 Hidden Valley Ter,Fremont, CA 94539","$4,557,471","APR 2, 2020",4,5.5,"5,000",0.81 Acres,0,1997,Single Family Residential
139,"40454 Torenia Cir,Fremont, CA 94538","$1,493,045","MAR 27, 2020",3,2.5,"1,422","4,276 Sq. Ft.",0,1994,Single Family Residential
140,"5645 Evergreen Ter,Fremont, CA 94538","$703,247","MAR 18, 2020",2,1.5,"1,006",741 Sq. Ft.,0,1970,Townhouse
141,"42139 Camino Santa Barbara,FREMONT, CA 94539","$2,419,846","MAR 17, 2020",5,3.5,"2,082","8,496 Sq. Ft.",0,1963,Single Family Residential
142,"4596 GERTRUDE Dr,Fremont, CA 94536","$1,593,445","MAR 13, 2020",3,2,"1,460","6,680 Sq. Ft.",0,1960,Single Family Residential
143,"43135 Calle Sagrada,Fremont, CA 94539","$2,117,062","FEB 25, 2020",4,3.5,"2,277","1,377 Sq. Ft.",0,2020,Single Family Residential
144,"5053 Hilo St,Fremont, CA 94538","$1,366,447","FEB 24, 2020",4,2,"1,324","6,120 Sq. Ft.",0,1962,Single Family Residential
145,"3538 Altamira Ter,Fremont, CA 94536","$1,119,766","FEB 20, 2020",3,2.5,"1,864","1,451 Sq. Ft.",0,2005,Townhouse
146,"1135 Desmond Ct,Fremont, CA 94539","$2,877,771","FEB 20, 2020",5,3,"2,474",0.42 Acres,0,1957,Single Family Residential
147,"3369 Foxtail Ter,FREMONT, CA 94536","$500,517","FEB 20, 2020",2,1,750,0,0,1986,Condo/Co-op
148,"41720 Higgins Way,Fremont, CA 94539","$2,072,008","JAN 31, 2020",4,2,"1,672","6,510 Sq. Ft.",0,1960,Single Family Residential
149,"5451 Alamo Ter,Fremont, CA 94555","$1,389,806","JAN 29, 2020",3,2.5,"1,324","3,058 Sq. Ft.",0,1988,Single Family Residential
150,"37050 Dusterberry Way,Fremont, CA 94536","$1,064,632","JAN 15, 2020",3,2.5,"1,492","1,492 Sq. Ft.",0,2007,Condo/Co-op
151,"40673 Squill Cmn #21,Fremont, CA 94538",,"JAN 14, 2020",3,2.5,"1,721",0,0,2019,Condo/Co-op
152,"42086 Vinha Way,Fremont, CA 94539","$3,001,341","JAN 10, 2020",4,4.5,"3,174","5,016 Sq. Ft.",0,2020,Single Family Residential
153,"4684 Mayfield Dr,FREMONT, CA 94536","$2,122,815","JAN 6, 2020",3,2.5,"2,342","8,962 Sq. Ft.",0,1954,Single Family Residential
154,"38443 Timpanogas Cir,FREMONT, CA 94536","$1,324,057","DEC 30, 2019",3,2,"1,320","8,284 Sq. Ft.",0,1955,Single Family Residential
155,"4684 Creekwood Dr,Fremont, CA 94555","$1,500,695","DEC 26, 2019",3,2.5,"1,522","3,150 Sq. Ft.",0,1987,Single Family Residential
156,"6004 Pisa Ter #119,Fremont, CA 94555","$1,065,003","DEC 18, 2019",3,2.5,"1,514",0,0,1992,Condo/Co-op
157,"39953 Cedar Blvd #225,NEWARK, CA 94560","$587,567","DEC 13, 2019",2,2,"1,071",3.29 Acres,0,1985,Condo/Co-op
158,"4678 De Silva St,FREMONT, CA 94538","$1,529,025","DEC 10, 2019",3,2,"1,544","7,178 Sq. Ft.",0,1960,Single Family Residential
159,"40446 Davis St,Fremont, CA 94538","$1,234,698","DEC 5, 2019",3,2,"1,201","5,300 Sq. Ft.",0,1955,Single Family Residential
160,"39029 Guardino Dr #318,Fremont, CA 94538","$468,122","DEC 4, 2019",1,1,693,0,0,1987,Condo/Co-op
161,"3523 Ellery Cmn,Fremont, CA 94538","$1,019,785","NOV 26, 2019",2,2.5,"1,317","1,085 Sq. Ft.",0,1999,Townhouse
162,"4374 Ribera St,FREMONT, CA 94536","$1,427,576","NOV 22, 2019",3,2,"1,256","5,800 Sq. Ft.",0,1967,Single Family Residential
163,"600 Jupiter Ct,Fremont, CA 94539","$1,664,416","NOV 18, 2019",3,2,"1,254","7,930 Sq. Ft.",0,1964,Single Family Residential
164,"32688 Lake Arrowhead Ct,FREMONT, CA 94555","$1,428,559","NOV 15, 2019",4,2,"1,234",0.26 Acres,0,1976,Single Family Residential
165,"38311 Logan Dr,FREMONT, CA 94536","$1,916,249","NOV 5, 2019",4,2.5,"2,475","5,580 Sq. Ft.",0,1999,Single Family Residential
166,"39029 Guardino Dr #220,Fremont, CA 94538","$668,522","NOV 1, 2019",2,2,"1,053",0,0,1987,Condo/Co-op
167,"4989 Northdale Dr,Fremont, CA 94536","$1,578,755","OCT 30, 2019",3,2,"1,550","8,942 Sq. Ft.",0,1955,Single Family Residential
168,"39078 Guardino Dr #109,Fremont, CA 94538","$456,408","OCT 24, 2019",1,1,693,0,0,1990,Condo/Co-op
169,"3735 Independence Rd,Fremont, CA 94538","$1,338,609","OCT 22, 2019",4,2,"1,340","5,500 Sq. Ft.",0,1954,Single Family Residential
170,"40965 High St,Fremont, CA 94538","$1,121,620","OCT 18, 2019",3,1,"1,114","5,444 Sq. Ft.",0,1952,Single Family Residential
171,"38567 Poe Ter,Fremont, CA 94536","$1,148,979","OCT 15, 2019",2,2,"1,107","3,142 Sq. Ft.",0,1999,Single Family Residential
172,"36198 Coronado Dr,Fremont, CA 94536","$1,466,117","OCT 15, 2019",4,2,"1,548","6,196 Sq. Ft.",0,1958,Single Family Residential
173,"2876 Villa Savona Ct,Fremont, CA 94539","$2,833,756","OCT 11, 2019",5,4.5,"3,883","6,050 Sq. Ft.",0,2007,Single Family Residential
174,"4970 Eggers Dr,Fremont, CA 94536","$1,799,680","OCT 2, 2019",4,2,"1,785","9,000 Sq. Ft.",0,1954,Single Family Residential
175,"38848 Judie Way,Fremont, CA 94536","$1,380,931","OCT 1, 2019",3,2,"1,262","6,262 Sq. Ft.",0,1962,Single Family Residential
176,"4346 Sloat Rd,Fremont, CA 94538","$1,353,249","SEP 27, 2019",3,2,"1,438","6,018 Sq. Ft.",0,1960,Single Family Residential
177,"4421 Bush Cir,Fremont, CA 94538","$1,748,587","SEP 23, 2019",4,2.5,"1,917","6,000 Sq. Ft.",0,1988,Single Family Residential
