,Address,Sold,Sold Date,Bed,Bath,Size,Lot Size,HOA,Year Build,Type
296,"330 Sunnyslope Dr,Fremont, CA 94536","$1,285,000","JUL 13, 2021",4,2.5,"1,799","3,875 Sq. Ft.",0,1989,Single Family Residential
297,"39636 Royal Palm Dr,Fremont, CA 94538","$1,287,053","JUL 13, 2021",4,2,"1,456","5,700 Sq. Ft.",0,1961,Single Family Residential
298,"472 Wapama Falls Ter,Fremont, CA 94539","$1,137,641","JUL 13, 2021",3,3.5,"2,033",0,$500,—,Condo/Co-op
299,"3683 Colet Ter,Fremont, CA 94536","$805,000","JUL 13, 2021",3,1.5,"1,168",860 Sq. Ft.,$295,1974,Townhouse
300,"4102 Alder Ter,FREMONT, CA 94536","$985,000","JUL 13, 2021",2,2.5,"1,390",1 Sq. Ft.,$349,—,Townhouse
301,"40285 Cottage Rose Ter,Fremont, CA 94538","$980,000","JUL 12, 2021",3,3,"1,310",0,$265,2009,Townhouse
302,"38871 Riverbank Ter,Fremont, CA 94536","$1,350,000","JUL 12, 2021",4,3,"1,563","3,500 Sq. Ft.",$88,1987,Single Family Residential
303,"37062 Penzance Cmn,Fremont, CA 94536","$716,625","JUL 12, 2021",2,2,"1,140",0,$377,1987,Condo/Co-op
304,"2068 Gomes Rd,FREMONT, CA 94539","$1,415,000","JUL 12, 2021",2,2,"1,248","3,230 Sq. Ft.",0,1969,Single Family Residential
305,"5461 Borgia Rd,Fremont, CA 94538","$1,450,000","JUL 9, 2021",4,2,"1,930","5,400 Sq. Ft.",0,1961,Single Family Residential
306,"3443 Pepperwood Ter #203,Fremont, CA 94536","$600,000","JUL 9, 2021",2,2,990,0,$548,1986,Condo/Co-op
307,"3869 Wildflower Cmn,Fremont, CA 94538","$730,000","JUL 9, 2021",3,1.5,"1,300",0,$410,1987,Condo/Co-op
308,"4120 Converse St,FREMONT, CA 94538","$1,352,000","JUL 9, 2021",4,2,"1,567","5,225 Sq. Ft.",0,1955,Single Family Residential
309,"40439 Blanchard St,Fremont, CA 94538","$873,000","JUL 9, 2021",3,1,950,"5,000 Sq. Ft.",0,1954,Single Family Residential
310,"45961 Hidden Valley Ter,Fremont, CA 94539","$4,700,000","JUL 9, 2021",5,6,"5,717",1.61 Acres,$167,—,Single Family Residential
311,"850 Wooded Hills Ct,Fremont, CA 94539","$3,211,111","JUL 9, 2021",4,4.5,"4,233",0.46 Acres,0,1996,Single Family Residential
312,"38623 Cherry Ln #157,FREMONT, CA 94536","$540,000","JUL 8, 2021",2,1,789,0,$415,1974,Condo/Co-op
313,"242 Hackamore Cmn,Fremont, CA 94539","$585,000","JUL 8, 2021",2,1,878,0,$410,1984,Condo/Co-op
314,"38740 Tyson Ln Unit 111B,FREMONT, CA 94536","$755,000","JUL 8, 2021",2,2,"1,178",0,$510,2000,Condo/Co-op
315,"4781 Northdale Dr,Fremont, CA 94536","$1,875,000","JUL 8, 2021",3,2.5,"2,310","9,529 Sq. Ft.",$18,1955,Single Family Residential
316,"3992 Harlequin Ter,Fremont, CA 94555","$1,530,000","JUL 7, 2021",4,2.5,"1,855","5,537 Sq. Ft.",$260,1991,Single Family Residential
317,"4072 Fairwood St,Fremont, CA 94538","$1,265,000","JUL 7, 2021",4,2,"1,448","6,144 Sq. Ft.",0,1959,Single Family Residential
318,"43457 Jerome Ave,Fremont, CA 94539","$1,320,000","JUL 7, 2021",3,1,951,"5,300 Sq. Ft.",0,1953,Single Family Residential
319,"48991 Woodgrove Cmn,FREMONT, CA 94539","$1,280,000","JUL 7, 2021",3,2.5,"1,400","7,072 Sq. Ft.",$262,2004,Condo/Co-op
320,"4802 Kathryn Ct,Fremont, CA 94536","$1,525,000","JUL 7, 2021",3,3,"1,868","7,474 Sq. Ft.",0,1960,Single Family Residential
321,"37440 Talamore Cmn,FREMONT, CA 94536","$1,800,000","JUL 7, 2021",4,3.5,"2,869","3,566 Sq. Ft.",$149,2016,Single Family Residential
322,"5679 Daylily St,Newark, CA 94560","$935,000","JUL 7, 2021",3,3,"1,503",0,$300,2017,Condo/Co-op
323,"42758 Charleston Way,FREMONT, CA 94538","$1,220,000","JUL 6, 2021",3,2,"1,151","5,300 Sq. Ft.",0,1958,Single Family Residential
324,"162 Branta Cmn,FREMONT, CA 94539","$1,100,000","JUL 6, 2021",3,3.5,"1,792",0,$276,2016,Condo/Co-op
325,"275 Mortimer Ave,Fremont, CA 94536","$1,460,671","JUL 22, 2021",4,2,"1,409","5,564 Sq. Ft.",0,1977,Single Family Residential
326,"38627 Cherry Ln #20,Fremont, CA 94536","$557,969","AUG 5, 2021",2,2,789,0,0,1974,Condo/Co-op
327,"42952 Via Valparaiso,Fremont, CA 94539","$1,004,791","JUL 6, 2021",3,3,"1,242",800 Sq. Ft.,0,1971,Townhouse
328,"566 Bella Vista Ct,Fremont, CA 94539","$2,534,571","SEP 1, 2021",3,3,"2,746",0,0,1981,Single Family Residential
329,"45199 S Grimmer Blvd,Fremont, CA 94539","$1,648,634","JUL 21, 2021",0,0,"1,585","6,196 Sq. Ft.",0,1977,Single Family Residential
330,"41131 Denise St,Fremont, CA 94539","$1,596,589","AUG 26, 2021",3,2,"1,148","6,300 Sq. Ft.",0,1957,Single Family Residential
331,"34661 Tabu Ter #62,Fremont, CA 94555","$775,214","JUL 30, 2021",2,2,934,0,0,1987,Condo/Co-op
332,"43670 Osgood Rd,Fremont, CA 94539","$1,901,790","JUL 7, 2021",3,1,"1,680",0.64 Acres,0,1930,Single Family Residential
333,"41173 Ellen St,Fremont, CA 94538","$1,305,649","AUG 3, 2021",3,2,"1,318",0,0,1960,Single Family Residential
334,"35030 Mt Palomar Ct,Fremont, CA 94536","$1,718,242","SEP 8, 2021",3,2.5,"2,166",0,0,1999,Single Family Residential
